Clutch,Replicate,Male,Female,Population,Tank,Mass,Dry_mass,Chamber,System,Volume,Date_tested,Date_analysed,Swim,Salinity,Temperature,Resting_kg_wet,Resting,rsqrest,Max_kg_wet,Max,rsqmax,AAS_kg_wet,AAS,Notes,True_resting
54,4,CVLA106,CVLA091,Vlassof Cay,272,0.0003923,0.0003835,ch1,Asus,0.04565,24/03/2023,19901,good/good,36,30,374.9970096,0.147111327,0.991,896.6781111,0.351766823,0.979362399,521.6811015,0.204655496,NA,Y
71,3,CVLA106,CVLA091,Vlassof cay,367,0.0004482,0.0004092,ch2,Dell,0.04593,15/04/2023,19894,good/good,36,30,393.7344861,0.176471797,0.9916,1061.785819,0.475892404,0.987472148,668.0513333,0.299420608,NA,N
71,7,CVLA106,CVLA091,Vlassof cay,367,0.0004778,0.0004517,ch2,Asus,0.04958,15/04/2023,19894,good/good,36,30,560.6970147,0.267901034,0.9978,1410.377619,0.673878426,0.987797132,849.6806045,0.405977393,NA,N
54,1,CVLA106,CVLA091,Vlassof Cay,272,0.0005182,0.0004961,ch4,Asus,0.05068,24/03/2023,19901,good/good,36,30,390.4774529,0.202345416,0.9798,778.8253925,0.403587318,0.984719781,388.3479397,0.201241902,NA,Y
71,5,CVLA106,CVLA091,Vlassof cay,367,0.0005515,0.0005171,ch4,Asus,0.05068,15/04/2023,19894,good/good,36,30,487.9498094,0.26910432,0.9958,1200.05447,0.66183004,0.993381348,712.1046611,0.392725721,NA,N
71,6,CVLA106,CVLA091,Vlassof cay,367,0.0005471,0.0005334,ch3,Asus,0.04873,15/04/2023,19894,good/good,36,30,473.1232316,0.25884572,0.995,1327.105606,0.726059477,0.990740531,853.9823748,0.467213757,check max,Y
54,3,CVLA106,CVLA091,Vlassof Cay,272,0.0005923,0.0005351,ch2,Asus,0.04958,24/03/2023,19901,good/good,36,30,512.8500398,0.303761079,0.9874,1531.696378,0.907223765,0.994779308,1018.846339,0.603462686,NA,Y
54,2,CVLA106,CVLA091,Vlassof Cay,272,0.0006097,0.0005788,ch3,Asus,0.04873,24/03/2023,19901,good/good,36,30,439.4558131,0.267936209,0.9854,974.9009789,0.594397127,0.990688285,535.4451658,0.326460918,Secoond cycle used for max,Y
71,2,CVLA106,CVLA091,Vlassof cay,367,0.0006604,0.0006036,ch3,Dell,0.04977,15/04/2023,19894,good/good,36,30,322.5943032,0.213041278,0.988,977.9777413,0.6458565,0.99798875,655.383438,0.432815222,Second cycle used for max,Y
71,4,CVLA106,CVLA091,Vlassof cay,367,0.0006785,0.0006408,ch1,Dell,0.0465,15/04/2023,19894,good/good,36,30,560.1371047,0.380053026,0.9978,1146.471116,0.777880652,0.998420465,586.334011,0.397827626,NA,Y
54,8,CVLA106,CVLA091,Vlassof Cay,272,0.0006997,0.0006577,ch1,Dell,0.04672,24/03/2023,19901,good/good,36,30,398.2943644,0.278686567,0.9908,1133.265646,0.792945972,0.995866907,734.9712814,0.514259406,NA,Y
71,1,CVLA106,CVLA091,Vlassof cay,367,0.0006948,0.0006636,ch4,Dell,0.0486,15/04/2023,19894,good/good,36,30,429.1230357,0.298154685,0.9966,1090.905703,0.757961283,0.990153658,661.7826677,0.459806598,check max,Y
111,4,CVLA468,CVLA477,Vlassof Cay,321,0.0004172,0.0003881,ch1,Dell,0.0465,23/05/2023,19888,good/good,36,27,360.8033862,0.150527173,0.9688,1064.502392,0.444110398,0.973563554,703.6990053,0.293583225,NA,Y
111,3,CVLA468,CVLA477,Vlassof Cay,321,0.0004492,0.0004131,ch2,Dell,0.04593,23/05/2023,19888,good/good,36,27,308.9877098,0.138797279,0.979,888.299291,0.399024042,0.960231366,579.3115812,0.260226762,initial drop due to signal may void max,Y
111,2,CVLA468,CVLA477,Vlassof Cay,321,0.0004925,0.0004535,ch3,Dell,0.04977,23/05/2023,19888,good/good,36,27,284.1528106,0.139945259,0.9876,932.081794,0.459050284,0.979206099,647.9289834,0.319105024,too low NOT RELIABLE,Y
111,6,CVLA468,CVLA477,Vlassof Cay,321,0.0004788,0.0004555,ch3,Asus,0.04551,23/05/2023,19888,good/good,36,27,326.0639713,0.156119429,0.9784,921.6701083,0.441295648,0.992995904,595.6061369,0.285176218,NA,Y
